Train epoch: 1, loss: 0.0807
Test loss: 1.7560, accuracy: 0.9733
Train epoch: 2, loss: 0.0757
Test loss: 1.2493, accuracy: 0.9807
Train epoch: 3, loss: 0.0376
Test loss: 0.9114, accuracy: 0.9847
Train epoch: 4, loss: 0.1791
Test loss: 0.7934, accuracy: 0.9868
Train epoch: 5, loss: 0.0069
Test loss: 0.8603, accuracy: 0.9838
Train epoch: 6, loss: 0.0042
Test loss: 0.6985, accuracy: 0.9892
Train epoch: 7, loss: 0.0184
Test loss: 0.6728, accuracy: 0.9886
Train epoch: 8, loss: 0.0022
Test loss: 0.7206, accuracy: 0.9873
Train epoch: 9, loss: 0.0029
Test loss: 0.6479, accuracy: 0.9892
Train epoch: 10, loss: 0.0045
Test loss: 0.6477, accuracy: 0.9892
Train epoch: 11, loss: 0.0021
Test loss: 0.7609, accuracy: 0.9890
Train epoch: 12, loss: 0.0021
Test loss: 0.8353, accuracy: 0.9874
Train epoch: 13, loss: 0.0002
Test loss: 0.7522, accuracy: 0.9886
Train epoch: 14, loss: 0.0002
Test loss: 0.6488, accuracy: 0.9904
Train epoch: 15, loss: 0.0005
Test loss: 0.7385, accuracy: 0.9906
Train epoch: 16, loss: 0.0003
Test loss: 0.8511, accuracy: 0.9886
Train epoch: 17, loss: 0.0001
Test loss: 0.8634, accuracy: 0.9885
Train epoch: 18, loss: 0.0028
Test loss: 0.8764, accuracy: 0.9884
Train epoch: 19, loss: 0.0019
Test loss: 0.9341, accuracy: 0.9876
Train epoch: 20, loss: 0.0001
Test loss: 0.8294, accuracy: 0.9890
